"Data Source","World Development Indicators",

"Last Updated Date","2018-09-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Bangladesh","BGD","Number of infant deaths","SH.DTH.IMRT","391678","394311","397572","401126","405311","410197","415659","421679","427997","434633","441136","447438","452889","457379","460865","462954","464186","464562","464022","462707","460576","457731","453547","447918","440389","431607","421229","409346","396306","382445","368050","353152","338209","323470","308935","294828","281214","268002","255170","242780","230663","218815","207281","195945","184889","173970","163354","153069","143395","134276","125861","118144","111001","104421","98293","92525","87197","82240",
"Bulgaria","BGR","Number of infant deaths","SH.DTH.IMRT","","","","","4260","4192","4133","4071","3983","3853","3707","3590","3521","3479","3438","3380","3289","3159","2998","2819","2637","2468","2320","2182","2047","1919","1803","1707","1635","1593","1566","1526","1465","1390","1313","1239","1171","1110","1051","994","940","897","862","831","798","764","734","709","687","666","642","613","578","541","505","472","443","416",
"Bahrain","BHR","Number of infant deaths","SH.DTH.IMRT","958","911","864","815","763","709","655","602","550","503","460","424","393","367","347","332","321","314","308","304","300","297","294","292","289","287","285","284","283","283","281","276","267","254","236","218","200","184","172","163","157","155","154","154","154","154","153","151","148","145","142","140","139","139","139","139","138","136",
"Bahamas, The","BHS","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","109","114","120","125","129","132","133","133","133","133","135","137","139","140","142","142","140","137","133","128","124","119","115","111","107","102","96","90","84","79","74","70","68","66","64","63","63","61","60","58","55","52","48","45","41","38","36","34","32",
"Bosnia and Herzegovina","BIH","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","1800","1629","1473","1328","1187","1055","933","864","779","681","618","549","497","450","404","368","335","312","296","281","272","260","250","237","224","213","199","191","183","175","169","165","159",
"Belarus","BLR","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","2584","2523","2464","2403","2332","2241","2130","2010","1891","1781","1685","1601","1521","1437","1348","1257","1165","1071","976","887","809","745","692","649","612","577","542","509","479","452","428","406","387","369","352","335","318",
"Belize","BLZ","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","358","352","346","341","336","332","327","323","318","313","307","301","295","287","280","273","265","256","247","238","228","218","207","198","189","180","173","167","161","157","153","149","146","143","141","138","136","133","131","129","127","125","123","121","118","116","113","109","105","102",
"Bermuda","BMU","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Number of infant deaths","SH.DTH.IMRT","","27581","27468","27354","27237","27125","26998","26878","26746","26603","26456","26294","26143","25991","25823","25634","25442","25223","25001","24772","24531","24272","23982","23661","23284","22859","22400","21902","21381","20866","20358","19857","19367","18872","18378","17861","17323","16752","16153","15533","14891","14246","13603","12964","12337","11736","11146","10575","10034","9535","9089","8706","8370","8071","7797","7535","7296","7075",
"Brazil","BRA","Number of infant deaths","SH.DTH.IMRT","378989","377718","375643","372510","368873","364690","359835","354366","348590","342631","336552","330811","325591","321123","317411","314142","311214","308257","304524","299463","292888","284862","275643","265729","255316","244992","234655","224554","214557","204802","195248","185855","176640","167389","158342","149265","140461","131927","123738","115564","107660","99804","92224","84966","78190","71935","66355","61497","57368","53926","51043","48645","46642","44886","43273","41706","43026","38582",
