"Data Source","World Development Indicators",

"Last Updated Date","2018-09-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Estonia","EST","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","382","376","368","364","360","355","347","334","321","301","280","256","231","208","184","165","148","133","122","111","103","97","91","86","81","76","71","65","61","54","50","46","41","37","35","32","30",
"Ethiopia","ETH","Number of infant deaths","SH.DTH.IMRT","","","","","","","","174048","178754","184081","189722","195368","200980","206218","211135","215994","220712","225355","229916","234370","238510","242343","245714","248469","250932","253472","256160","259112","261935","264624","266958","268916","270144","270673","270227","268959","267201","264704","261351","257129","251743","245009","236821","227584","217766","207679","198004","189064","180863","173475","166949","161040","155642","150446","145625","141119","136965","133153",
"European Union","EUU","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57354","53861","50487","47015","43699","40682","37913","35504","33363","31533","30034","28820","27874","27082","26347","25463","24616","23853","23022","22187","21421","20687","20017","19385","18769","18374","17886","17418",
"Fragile and conflict affected situations","FCS","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","995546","1001183","1008148","1016142","1024294","1032079","1038431","1042561","1044266","1043905","1041382","1037050","1031380","1024554","1017193","1008809","1000068","988869","981798","965056","960925","940879","928199","916615","905462","895196","884855","874010",
"Finland","FIN","Number of infant deaths","SH.DTH.IMRT","1826","1706","1598","1497","1400","1306","1215","1127","1042","960","883","813","751","697","652","614","579","546","516","487","461","438","419","404","392","383","377","372","368","361","352","339","323","305","286","268","251","236","223","212","203","196","191","187","182","178","173","167","161","154","146","139","133","127","121","117","114","110",
"Fiji","FJI","Number of infant deaths","SH.DTH.IMRT","1011","982","953","924","895","867","841","818","800","787","780","777","780","784","789","793","795","792","785","773","755","734","711","687","661","635","609","584","560","538","517","498","480","464","450","437","426","415","406","397","388","382","377","375","375","377","379","381","381","379","376","373","370","369","368","368","369","369",
"France","FRA","Number of infant deaths","SH.DTH.IMRT","19600","18761","18018","17281","16552","15854","15207","14596","14004","13399","12756","12069","11403","10806","10263","9728","9201","8704","8261","7889","7591","7358","7157","6955","6749","6549","6361","6174","5983","5773","5524","5230","4897","4538","4195","3903","3682","3528","3431","3371","3319","3258","3186","3102","3018","2946","2893","2853","2815","2778","2739","2700","2669","2655","2657","2670","2688","2698",
"Faroe Islands","FRO","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","133","138","141","143","144","143","142","141","140","141","141","142","144","145","146","146","144","140","135","130","124","117","111","105","99","93","88","84","81","78","75","73","71","69","68","67",
"Gabon","GAB","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","2022","2013","2004","1999","1996","1997","2002","2010","2025","2042","2064","2087","2107","2128","2148","2164","2179","2191","2197","2202","2200","2197","2193","2190","2188","2188","2190","2200","2200","2204","2210","2211","2208","2192","2176","2164","2132","2076","2029",
"United Kingdom","GBR","Number of infant deaths","SH.DTH.IMRT","20745","20896","20943","20685","20262","19583","18895","18053","17262","16395","15488","14577","13558","12609","11690","10887","10149","9585","9057","8601","8203","7903","7626","7475","7316","7263","7183","7071","6862","6556","6157","5737","5373","5005","4768","4595","4419","4299","4173","4044","3864","3762","3688","3705","3693","3646","3673","3700","3652","3584","3495","3386","3265","3136","3073","3077","3011","2945",
"Georgia","GEO","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","4900","4794","4687","4600","4517","4451","4385","4325","4271","4218","4154","4080","3989","3874","3737","3573","3386","3183","2969","2749","2534","2325","2124","1937","1768","1621","1496","1390","1297","1215","1142","1073","1010","947","887","826","767","710","655","602","552","508",
"Ghana","GHA","Number of infant deaths","SH.DTH.IMRT","37302","38238","39221","40249","41287","42381","43472","44556","45576","46486","47260","47823","48143","48208","47976","47548","47061","46618","46325","46313","46561","47000","47540","48008","48221","48103","47668","46946","46045","45119","44263","43600","43206","43079","43154","43326","43456","43437","43240","42846","42333","41773","41281","40940","40789","40758","40772","40712","40498","40037","39274","38342","37260","36068","34767","33472","32266","31153",
"Gibraltar","GIB","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Number of infant deaths","SH.DTH.IMRT","","","","","","","","34424","34622","34813","35000","35154","35277","35350","35374","35322","35219","35089","34962","34856","34778","34782","34863","35020","35238","35535","35961","36499","37097","37748","38391","38945","39403","39772","39967","39966","39794","39392","38788","38014","37076","36008","34885","33797","32793","31887","31058","30332","29657","29048","28477","27933","27417","26924","26452","25987","25560","25122",
"Gambia, The","GMB","Number of infant deaths","SH.DTH.IMRT","2596","2637","2671","2697","2716","2731","2747","2763","2783","2811","2842","2877","2920","2963","3005","3047","3084","3120","3154","3186","3212","3237","3261","3283","3307","3331","3355","3380","3405","3428","3450","3465","3475","3482","3485","3484","3480","3478","3477","3476","3473","3470","3467","3460","3454","3444","3434","3425","3422","3419","3415","3413","3405","3399","3383","3372","3360","3340",
"Guinea-Bissau","GNB","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","6150","6130","6104","6077","6045","6013","5969","5917","5851","5774","5688","5602","5513","5426","5345","5259","5172","5081","4985","4885","4781","4671","4562","4451","4336","4224","4115","4015","3928","3838","3756","3673",
"Equatorial Guinea","GNQ","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","1718","1772","1830","1889","1947","2005","2059","2110","2158","2206","2260","2318","2378","2439","2495","2546","2589","2626","2661","2689","2718","2740","2757","2774","2784","2789","2791","2795","2796","2797","2789","2774","2761","2747","2724",
"Greece","GRC","Number of infant deaths","SH.DTH.IMRT","6354","6179","5976","5767","5596","5434","5289","5110","4890","4588","4265","3985","3806","3721","3659","3552","3418","3251","3059","2839","2619","2399","2195","2013","1842","1677","1510","1357","1220","1108","1018","959","915","875","845","815","776","735","695","655","606","568","532","498","474","450","424","405","392","377","368","357","353","356","359","377","387","391",
"Grenada","GRD","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","62","62","60","58","55","51","47","43","40","36","34","32","30","29","27","26","25","25","24","24","24","24","24","25","25","26","27","27","28","29","30","30","30",
"Greenland","GRL","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Number of infant deaths","SH.DTH.IMRT","28942","28899","28857","28842","28842","28857","28897","28945","28974","28989","28995","28988","28951","28898","28797","28662","28495","28255","27990","27657","27261","26796","26243","25630","24966","24284","23604","22967","22382","21848","21365","20906","20461","20010","19537","19059","18567","18077","17596","17133","16670","16200","15697","15178","14637","14085","13546","13037","12558","12127","11742","11392","11069","10761","10482","10215","9955","9697",
"Guam","GUM","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","Number of infant deaths","SH.DTH.IMRT","1603","1560","1519","1484","1454","1431","1414","1401","1392","1387","1383","1379","1371","1360","1346","1328","1309","1291","1276","1265","1256","1247","1235","1216","1190","1158","1122","1085","1049","1015","986","962","938","915","892","868","843","816","786","756","725","692","660","629","599","572","548","527","509","495","483","474","465","456","447","436","423","411",
"High income","HIC","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","157988","151265","143925","136236","128857","121784","115092","109015","103934","99834","95986","92972","90465","88356","86814","85009","83328","81387","79596","77593","75091","72923","70711","68751","66907","65482","63954","62597",
"Hong Kong SAR, China","HKG","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Honduras","HND","Number of infant deaths","SH.DTH.IMRT","13783","13664","13550","13450","13370","13299","13237","13160","13067","12944","12810","12650","12476","12305","12142","11968","11785","11595","11387","11161","10921","10672","10412","10145","9883","9627","9385","9151","8931","8719","8514","8318","8124","7936","7741","7543","7338","7126","7663","6689","6463","6230","5983","5731","5482","5231","4982","4737","4502","4273","4060","3872","3706","3553","3418","3300","3194","3092",
"Heavily indebted poor countries (HIPC)","HPC","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1713183","1730343","1747978","1766097","1786050","1796411","1805103","1812370","1814401","1806468","1793541","1772771","1746376","1716728","1685518","1654066","1625223","1596235","1567006","1540491","1520077","1483598","1455046","1429621","1406207","1382925","1361335","1340212",
"Croatia","HRV","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","1273","1184","1097","1008","922","835","753","678","611","558","510","477","448","426","406","390","368","348","327","307","288","272","254","243","234","228","219","212","203","194","187","177","170","164","157","151",
"Haiti","HTI","Number of infant deaths","SH.DTH.IMRT","31254","31206","31162","31041","30876","30637","30322","29911","29475","29011","28555","28159","27849","27634","27551","27600","27788","28091","28475","28897","29294","29602","29745","29718","29521","29140","28625","28025","27382","26731","26077","25433","24800","24157","23514","22870","22214","21539","20873","20209","19583","18996","18481","18035","17657","17336","17043","16778","16521","16252","22982","15644","15443","15172","14899","14622","14314","13998",
"Hungary","HUN","Number of infant deaths","SH.DTH.IMRT","7162","6554","6106","5750","5489","5347","5311","5326","5337","5334","5346","5397","5507","5668","5760","5599","5145","4620","4192","3844","3493","3138","2858","2700","2615","2504","2337","2172","2054","1973","1896","1800","1673","1515","1352","1216","1115","1036","967","902","838","778","723","679","641","609","580","551","522","494","472","455","440","423","404","381","356","332",
"IBRD only","IBD","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5106326","4928402","4737202","4541949","4349980","4165105","3992675","3830132","3676378","3531746","3392944","3259558","3130325","3004714","2889080","2762682","2645497","2528725","2415073","2301507","2192286","2087780","1987566","1890605","1799615","1714831","1637246","1561712",
"IDA & IBRD total","IBT","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8630641","8457636","8270855","8079286","7891346","7698495","7513371","7332883","7152110","6967640","6782011","6593466","6404463","6217704","6041178","5854607","5681798","5509883","5345523","5175415","5020268","4854373","4699679","4551336","4410542","4274689","4148754","4025483",
"IDA total","IDA","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3524315","3529234","3533653","3537337","3541366","3533390","3520696","3502751","3475732","3435894","3389067","3333908","3274138","3212990","3152098","3091925","3036301","2981158","2930450","2873908","2827982","2766593","2712113","2660731","2610927","2559858","2511508","2463771",
"IDA blend","IDB","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1161237","1171678","1181435","1189887","1197007","1201690","1203006","1200289","1193517","1183631","1171640","1158941","1146700","1135572","1125390","1115710","1107198","1098846","1089428","1079852","1068363","1055860","1040542","1023799","1005918","985430","965616","945584",
"Indonesia","IDN","Number of infant deaths","SH.DTH.IMRT","561289","559117","556560","553229","549124","544264","538186","531113","523068","514627","505506","495990","486104","476061","466209","456348","446966","438027","429385","420809","411971","402402","391981","380421","368053","354873","341379","327757","314134","300674","287414","274372","261554","249113","237170","225789","215505","206197","198340","191678","186116","181334","176856","172508","173721","163232","158423","153374","148374","143385","138178","133125","128316","123446","118718","114105","109780","105405",
"IDA only","IDX","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2363078","2357556","2352218","2347450","2344359","2331700","2317690","2302462","2282215","2252263","2217427","2174967","2127438","2077418","2026708","1976215","1929103","1882312","1841022","1794056","1759619","1710733","1671571","1636932","1605009","1574428","1545892","1518187",
"Isle of Man","IMN","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","Number of infant deaths","SH.DTH.IMRT","2956351","2954479","2954509","2955521","2958818","2962932","2967541","2975695","2983297","2991002","2997194","2999749","2997497","2991250","2975989","2955206","2927726","2896597","2862778","2832689","2802732","2774311","2746344","2716801","2684624","2648065","2604120","2554501","2499658","2443169","2386920","2332567","2279609","2228297","2177007","2124701","2070833","2014678","1956390","1897315","1837262","1775780","1714149","1652925","1591784","1529840","1466124","1399889","1330719","1260437","1189588","1120770","1055567","994702","938862","888116","842322","802004",
"Not classified","INX","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Number of infant deaths","SH.DTH.IMRT","1844","1784","1724","1662","1595","1516","1429","1350","1292","1259","1247","1261","1273","1284","1273","1247","1192","1125","1043","947","863","784","721","662","608","565","527","495","461","430","399","364","337","319","307","307","312","320","328","338","343","339","329","313","302","289","274","269","262","260","256","250","243","235","225","215","205","195",
"Iran, Islamic Rep.","IRN","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","145476","142828","140496","138380","136535","134634","132617","130373","127767","124784","121713","118473","114857","110791","105963","100382","94256","87681","81103","74655","68528","62799","57594","52793","48480","44572","41040","37898","35172","32863","30952","29375","28068","26965","25978","25125","24296","23526","22800","22094","21385","20605","19726","18790","17786","16722",
"Iraq","IRQ","Number of infant deaths","SH.DTH.IMRT","38548","37721","37310","37150","37140","37154","37081","36891","36577","36104","35512","34838","34089","33329","32586","31897","31241","30652","30106","29604","29153","28748","28413","28133","27914","27724","27590","27496","27464","27454","27515","27628","27803","28044","28315","28620","28917","29163","29380","29537","29650","29764","29916","30110","30368","30658","30979","31285","31576","31877","32093","32287","32358","32292","32158","31956","31648","31312",
"Iceland","ISL","Number of infant deaths","SH.DTH.IMRT","84","82","80","78","75","71","68","64","61","59","56","54","52","50","48","45","43","40","38","35","33","31","29","28","26","25","24","23","23","22","22","21","20","20","19","18","17","16","15","14","13","12","12","11","11","11","10","10","10","10","9","9","9","8","8","8","7","7",
"Israel","ISR","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","1991","1832","1703","1588","1498","1427","1362","1305","1249","1196","1138","1089","1050","1012","990","961","933","899","857","823","798","771","752","740","726","710","691","682","661","640","630","608","598","588","577","577","563","545","538","528","502","488","473",
"Italy","ITA","Number of infant deaths","SH.DTH.IMRT","39274","38518","37568","36428","35157","33805","32476","31247","30064","28792","27350","25626","23607","21379","19093","16899","14923","13241","11842","10672","9681","8821","8049","7359","6750","6229","5792","5434","5142","4904","4695","4482","4241","3977","3709","3451","3211","2995","2806","2647","2517","2408","2313","2231","2162","2102","2051","2002","1952","1893","1824","1750","1675","1605","1542","1487","1436","1389",
"Jamaica","JAM","Number of infant deaths","SH.DTH.IMRT","3957","3891","3815","3734","3647","3551","3444","3329","3201","3068","2928","2789","2651","2524","2409","2311","2231","2170","2120","2079","2048","2017","1984","1947","1903","1853","1798","1739","1681","1623","1566","1512","1461","1414","1367","1321","1274","1226","1178","1130","1082","1037","997","961","933","910","890","870","850","827","802","775","749","723","698","672","649","624",
"Jordan","JOR","Number of infant deaths","SH.DTH.IMRT","4817","4897","4971","5036","5102","5161","5217","5268","5313","5343","5354","5329","5268","5172","5047","4901","4741","4587","4443","4319","4213","4122","4042","3964","3890","3821","3764","3723","3702","3701","3716","3741","3773","3800","3824","3839","3839","3819","3783","3736","3680","3624","3573","3533","3509","3502","3517","3551","3599","3653","3705","3751","3781","3785","3774","3730","3673","3588",
"Japan","JPN","Number of infant deaths","SH.DTH.IMRT","49425","45475","41786","38401","35379","32798","30725","29115","27883","26896","26000","25047","23943","22640","21143","19512","17827","16191","14696","13369","12202","11181","10276","9448","8699","8031","7445","6949","6545","6223","5963","5752","5567","5387","5198","4990","4762","4523","4283","4053","3838","3644","3475","3334","3214","3106","3001","2898","2795","2691","2589","2574","2394","2300","2209","2182","2037","1955",
"Kazakhstan","KAZ","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","22865","22734","22623","22497","22327","22189","22021","21851","21634","21397","21151","20889","20594","20255","19831","19281","18641","17951","17238","16502","15763","14966","14097","13168","12182","11182","10253","9458","8828","8398","8136","8000","7947","7916","7859","7729","7496","7155","6715","6194","5631","5080","4576","4121","3715","3356",
"Kenya","KEN","Number of infant deaths","SH.DTH.IMRT","47270","46839","46582","46502","46697","47151","47851","48668","49506","50353","51204","52005","52729","53361","53825","54153","54349","54451","54473","54450","54815","54950","55192","55593","56142","56912","57906","59132","60636","62367","64276","66411","68638","70886","73138","75203","76925","78247","78984","79090","78530","77376","75705","73661","71278","68408","65861","63637","60970","59177","57429","56255","55733","54694","53499","52151","51524","51053",
"Kyrgyz Republic","KGZ","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","8795","8740","8694","8653","8605","8559","8502","8420","8327","8209","8055","7889","7718","7551","7411","7277","7108","6880","6596","6260","5886","5505","5133","4784","4475","4217","4016","3870","3774","3726","3711","3708","3690","3652","3595","3516","3420","3305","3171","3014","2838","2658",
"Cambodia","KHM","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","46724","43813","40997","38376","36079","34172","32863","32249","32139","32204","32264","32297","32265","32202","32035","31812","31590","31445","31335","31153","30843","30321","29584","28449","26790","24708","22603","20805","19377","18235","17292","16434","15560","14634","13693","12764","11896","11168","10550","10049","9609","9164",
"Kiribati","KIR","Number of infant deaths","SH.DTH.IMRT","","","","","226","216","206","196","186","176","168","161","157","154","154","156","160","164","169","174","178","182","186","189","191","192","191","190","187","183","179","174","170","166","161","157","153","149","144","141","137","135","133","133","134","136","139","142","144","146","147","147","147","146","144","142","140","137",
"St. Kitts and Nevis","KNA","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","71","66","63","60","57","55","53","51","49","47","44","41","38","36","33","31","29","27","26","24","23","23","22","21","21","20","20","19","18","17","15","14","14","13","12","12","11","11","11","11","11","10","10","10","10","10","10",
"Korea, Rep.","KOR","Number of infant deaths","SH.DTH.IMRT","82946","79534","75963","72178","68243","64123","59948","55930","52068","48451","45142","42111","39346","36887","34634","32568","30660","28891","27238","25647","24046","22353","20544","18646","16696","14799","13055","11552","10365","9459","8755","8191","7690","7194","6676","6143","5600","5070","4575","4124","3723","3369","3051","2758","2492","2258","2057","1893","1764","1663","1585","1523","1471","1424","1382","1342","1304","1268",
"Kuwait","KWT","Number of infant deaths","SH.DTH.IMRT","1083","1152","1230","1316","1401","1485","1568","1645","1714","1774","1819","1844","1849","1831","1797","1752","1701","1651","1604","1558","1505","1438","1359","1273","1188","1107","1033","958","877","789","703","653","568","527","503","493","490","490","490","487","483","480","480","482","487","495","506","519","531","539","540","535","524","511","497","482","467","451",
"Latin America & Caribbean (excluding high income)","LAC","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","486243","466953","447714","428506","409446","390300","371234","352322","334826","316419","298585","281977","266254","251464","237663","224899","213366","203080","194048","186151","186227","173098","167830","163096","158889","155107","154576","148441",
"Lao PDR","LAO","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","18729","18632","18565","18544","18567","18615","18673","18781","18881","18949","18953","18877","18689","18378","17949","17414","16807","16137","15443","14750","14088","13477","12925","12433","12006","11633","11303","11000","10703","10411","10114","9811","9500","9182","8884","8599","8323","8046","7771",
"Lebanon","LBN","Number of infant deaths","SH.DTH.IMRT","3855","3834","3811","3772","3733","3687","3640","3599","3562","3535","3512","3497","3486","3470","3453","3429","3387","3333","3264","3179","3081","2971","2847","2713","2573","2431","2294","2162","2040","1929","1828","1736","1653","1576","1504","1434","1364","1292","1219","1144","1065","984","899","816","735","662","602","561","538","532","537","550","567","581","594","601","602","597",
"Liberia","LBR","Number of infant deaths","SH.DTH.IMRT","10959","11231","11481","11706","11910","12093","12247","12381","12486","12580","12680","12809","12952","13103","13243","13386","13560","13770","13991","14236","14466","14699","14910","15123","15331","15563","15786","15986","16136","16199","16168","16036","15837","15619","15411","15239","15111","14978","14831","14604","14282","13872","13405","12868","12301","11762","11284","10884","10544","10275","10029","9821","9638","9459","9290","9138","9000","8859",
"Libya","LBY","Number of infant deaths","SH.DTH.IMRT","","11256","11074","10921","10803","10701","10605","10495","10386","10238","10068","9854","9631","9369","9085","8788","8485","8188","7894","7606","7324","7060","6800","6544","6298","6046","5798","5520","5231","4936","4647","4357","4083","3837","3615","3424","3259","3117","2995","2889","2798","2722","2654","2583","2499","2399","2283","2158","2039","1937","1849","1814","1689","1612","1536","1461","1385","1313",
"St. Lucia","LCA","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","212","193","175","160","147","136","126","118","111","105","100","95","92","88","85","82","80","77","75","73","71","68","66","63","61","58","55","52","49","46","44","42","41","39","39","38","38","37","37","37","36","36","35","34","34","33","32",
"Latin America & Caribbean","LCN","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","512725","492816","472710","452493","432400","412258","392284","372569","354321","335209","316689","299446","283146","267856","253610","240464","228594","218038","208744","200528","200194","186572","180812","175554","170796","166475","165437","158812",
"Least developed countries: UN classification","LDC","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2295510","2292043","2288229","2284708","2282935","2271839","2259783","2246764","2228090","2201823","2169864","2130147","2084994","2036769","1987048","1937095","1889602","1842263","1800245","1752039","1716437","1666373","1626499","1591663","1560054","1530362","1502962","1476755",
"Low income","LIC","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1642174","1654740","1667627","1680801","1695338","1699579","1701361","1700950","1694100","1679494","1660067","1634535","1605302","1574180","1543067","1512423","1484682","1455803","1427366","1401072","1381363","1345527","1318059","1294272","1272729","1252435","1233158","1214605",
"Liechtenstein","LIE","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sri Lanka","LKA","Number of infant deaths","SH.DTH.IMRT","25280","24568","23888","23255","22695","22218","21780","21398","21036","20712","20394","20100","19823","19551","19277","18970","18585","18090","17500","16773","15918","14901","13735","12435","11088","9774","8603","7676","7053","6682","6497","6426","6380","6278","6102","5890","5671","5457","5253","5070","4917","4804","4722","4657","5563","4441","4239","4019","3835","3686","3538","3370","3189","3003","2824","2657","2508","2376",
"Lower middle income","LMC","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5033919","4945886","4858604","4772115","4685044","4595464","4503305","4407007","4307891","4204746","4100390","3994016","3887813","3783595","3686729","3576441","3473052","3369167","3266834","3155394","3047411","2942148","2839202","2739960","2645231","2553085","2467796","2387896",
"Low & middle income","LMY","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8614179","8443828","8260265","8072181","7887749","7697953","7515063","7335731","7155134","6969870","6782826","6592589","6402041","6214096","6036806","5849844","5677034","5505125","5340753","5170673","5015497","4849648","4694937","4546705","4406129","4270542","4144859","4021876",
"Lesotho","LSO","Number of infant deaths","SH.DTH.IMRT","4935","5001","5086","5190","5296","5404","5499","5574","5630","5669","5690","5700","5703","5690","5655","5602","5524","5425","5304","5172","5033","4893","4747","4609","4482","4362","4255","4163","4092","4038","4012","4015","4052","4127","4231","4357","4482","4606","4709","4782","4830","4856","4861","4856","4825","4783","4703","4570","4620","4493","4272","4241","4282","4282","4250","4257","4146","4041",
"Late-demographic dividend","LTE","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1632139","1551560","1455239","1351405","1248803","1151860","1065657","988512","918758","855036","796281","741837","690686","643092","600375","559497","524221","492891","465549","441178","418337","396618","375385","354314","333706","313200","296205","275048",
"Lithuania","LTU","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","1131","1068","965","896","890","913","931","935","930","919","900","873","844","823","813","806","796","775","733","678","639","634","661","700","727","713","636","533","447","390","350","318","291","268","249","235","226","220","211","198","183","167","153","141","132","127","126","125","119","106",
"Luxembourg","LUX","Number of infant deaths","SH.DTH.IMRT","","","","","","126","118","110","101","93","85","78","71","65","60","56","52","50","48","47","46","45","44","42","41","40","39","37","36","35","34","33","32","31","30","28","27","26","24","23","21","20","19","18","17","16","15","15","14","14","14","14","14","14","14","14","14","14",
"Latvia","LVA","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","546","559","568","567","556","533","506","484","473","473","483","494","489","463","425","384","344","306","270","242","223","212","205","200","194","188","182","174","166","157","147","135","122","109","97","87","78","71",
"Macao SAR, China","MAC","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Martin (French part)","MAF","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Morocco","MAR","Number of infant deaths","SH.DTH.IMRT","87543","88112","88360","88269","87816","86996","85893","84596","83170","81790","80501","79378","78384","77430","76478","75498","74470","73395","72248","71032","69614","67958","66008","63742","61157","58372","55556","52800","50196","47766","45517","43362","41283","39182","37094","34995","33002","31169","29528","28074","26783","25651","24638","23717","22847","22016","21262","20574","19965","19395","18838","18259","17632","16948","16213","15447","14677","13943",
"Monaco","MCO","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","3","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",
"Moldova","MDA","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","3435","3400","3372","3344","3318","3298","3283","3287","3284","3277","3243","3186","3101","2995","2859","2701","2540","2386","2254","2156","2093","2047","2004","1950","1872","1760","1620","1454","1276","1106","961","847","767","716","688","675","671","669","666","658","646","629","611","592","570","549",
"Madagascar","MDG","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","27535","28524","29610","30798","32073","33430","34822","36171","37480","38724","39942","41249","42711","44200","45556","46746","47690","48390","48785","48935","48938","48905","48942","49008","49140","49208","49016","48525","47705","46552","45208","43773","42312","40879","39524","38252","37048","35925","34801","33681","32601","31536","30498","29580","28857","28296","27871","27472","27165",
"Maldives","MDV","Number of infant deaths","SH.DTH.IMRT","","","","","","1080","1067","1051","1033","1012","988","961","929","893","859","828","803","784","773","768","766","767","768","766","760","748","731","709","682","651","618","582","543","501","459","416","374","333","294","259","226","198","173","152","138","120","108","99","92","86","80","75","70","66","62","59","55","52",
"Middle East & North Africa","MEA","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","427977","408521","389267","370329","351891","334210","317756","302600","288775","276402","265496","255971","247664","240508","234279","228905","224382","220579","217440","215032","213275","211935","210423","207961","204515","200128","195079","189513",
