"","","2015","2015","2014","2014","2013","2013","2012","2012","2011","2011","2010","2010","2009","2009","2008","2008","2007","2007","2006","2006","2005","2005","2004","2004","2003","2003","2002","2002","2001","2001","2000","2000"
"Indicator","Age Group"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"
"nMx - age-specific death rate between ages x and x+n"," 45-49 years","0.009","0.007","0.009","0.007","0.009","0.007","0.009","0.008","0.009","0.008","0.01","0.008","0.01","0.008","0.01","0.008","0.01","0.008","0.01","0.008","0.01","0.008","0.01","0.008","0.01","0.008","0.01","0.009","0.011","0.009","0.011","0.009"
"nMx - age-specific death rate between ages x and x+n"," 50-54 years","0.013","0.01","0.013","0.01","0.013","0.01","0.013","0.01","0.013","0.011","0.014","0.011","0.014","0.011","0.014","0.011","0.014","0.011","0.014","0.011","0.014","0.011","0.014","0.011","0.014","0.012","0.015","0.012","0.015","0.012","0.015","0.012"
"nMx - age-specific death rate between ages x and x+n"," 55-59 years","0.019","0.014","0.019","0.014","0.019","0.014","0.019","0.015","0.019","0.015","0.02","0.015","0.02","0.015","0.02","0.015","0.02","0.016","0.021","0.016","0.021","0.016","0.021","0.016","0.021","0.016","0.021","0.016","0.021","0.017","0.022","0.017"
"nMx - age-specific death rate between ages x and x+n"," 60-64 years","0.028","0.022","0.028","0.022","0.028","0.022","0.029","0.022","0.029","0.022","0.029","0.023","0.03","0.023","0.03","0.023","0.03","0.024","0.03","0.024","0.03","0.024","0.031","0.024","0.031","0.025","0.031","0.025","0.032","0.025","0.032","0.025"
"nMx - age-specific death rate between ages x and x+n"," 65-69 years","0.042","0.034","0.043","0.034","0.043","0.034","0.043","0.034","0.043","0.035","0.044","0.035","0.044","0.035","0.044","0.036","0.045","0.036","0.045","0.036","0.045","0.037","0.045","0.037","0.046","0.037","0.046","0.038","0.046","0.038","0.047","0.038"
"nMx - age-specific death rate between ages x and x+n"," 70-74 years","0.065","0.055","0.065","0.055","0.066","0.055","0.066","0.056","0.066","0.056","0.067","0.057","0.067","0.057","0.068","0.057","0.068","0.058","0.069","0.058","0.069","0.059","0.069","0.059","0.069","0.06","0.07","0.06","0.07","0.06","0.071","0.061"
"nMx - age-specific death rate between ages x and x+n"," 75-79 years","0.101","0.088","0.102","0.089","0.102","0.089","0.103","0.09","0.103","0.09","0.104","0.091","0.104","0.091","0.105","0.092","0.106","0.093","0.106","0.093","0.107","0.094","0.107","0.094","0.107","0.095","0.108","0.095","0.108","0.096","0.109","0.096"
"nMx - age-specific death rate between ages x and x+n"," 80-84 years","0.157","0.142","0.158","0.143","0.158","0.143","0.159","0.144","0.159","0.144","0.16","0.145","0.161","0.146","0.162","0.146","0.162","0.147","0.163","0.148","0.164","0.148","0.164","0.149","0.164","0.149","0.165","0.15","0.165","0.15","0.166","0.151"
"nMx - age-specific death rate between ages x and x+n"," 85+ years","0.266","0.245","0.267","0.246","0.267","0.246","0.267","0.246","0.268","0.246","0.268","0.247","0.269","0.247","0.27","0.248","0.27","0.249","0.271","0.249","0.272","0.25","0.272","0.25","0.272","0.25","0.273","0.251","0.273","0.251","0.273","0.252"
"nqx - probability of dying between ages x and x+n"," &lt;1 year","0.07","0.062","0.072","0.064","0.074","0.066","0.076","0.067","0.078","0.069","0.079","0.071","0.081","0.073","0.083","0.074","0.085","0.076","0.087","0.078","0.089","0.08","0.091","0.082","0.094","0.084","0.096","0.086","0.099","0.088","0.101","0.09"
"nqx - probability of dying between ages x and x+n"," 1-4 years","0.026","0.027","0.027","0.028","0.028","0.029","0.029","0.031","0.031","0.032","0.032","0.033","0.033","0.034","0.034","0.035","0.035","0.037","0.036","0.038","0.038","0.039","0.039","0.041","0.04","0.042","0.042","0.044","0.044","0.046","0.045","0.047"
"nqx - probability of dying between ages x and x+n"," 5-9 years","0.009","0.01","0.01","0.011","0.01","0.01","0.01","0.011","0.01","0.011","0.011","0.011","0.011","0.012","0.011","0.012","0.012","0.013","0.012","0.013","0.011","0.012","0.012","0.013","0.012","0.013","0.012","0.013","0.013","0.014","0.013","0.015"
"nqx - probability of dying between ages x and x+n"," 10-14 years","0.008","0.009","0.009","0.009","0.008","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.01","0.009","0.01","0.01","0.011","0.01","0.01","0.009","0.01","0.009","0.01","0.009","0.01","0.009","0.011","0.01","0.012","0.011","0.012"
"nqx - probability of dying between ages x and x+n"," 15-19  years","0.013","0.012","0.014","0.013","0.013","0.012","0.014","0.013","0.014","0.013","0.014","0.013","0.014","0.013","0.014","0.014","0.015","0.015","0.015","0.015","0.014","0.014","0.014","0.014","0.014","0.015","0.014","0.015","0.017","0.016","0.017","0.017"
"nqx - probability of dying between ages x and x+n"," 20-24 years","0.02","0.015","0.021","0.016","0.02","0.016","0.02","0.016","0.02","0.017","0.021","0.017","0.02","0.017","0.021","0.018","0.023","0.019","0.022","0.019","0.02","0.019","0.02","0.019","0.02","0.019","0.02","0.02","0.025","0.021","0.027","0.022"
"nqx - probability of dying between ages x and x+n"," 25-29 years","0.02","0.017","0.022","0.018","0.02","0.018","0.021","0.018","0.021","0.019","0.021","0.019","0.021","0.02","0.022","0.02","0.024","0.021","0.023","0.021","0.021","0.021","0.021","0.022","0.021","0.022","0.022","0.023","0.027","0.024","0.028","0.024"
"nqx - probability of dying between ages x and x+n"," 30-34 years","0.022","0.02","0.023","0.021","0.022","0.02","0.023","0.021","0.023","0.021","0.023","0.022","0.023","0.022","0.024","0.023","0.026","0.024","0.025","0.024","0.024","0.024","0.024","0.025","0.024","0.025","0.024","0.026","0.029","0.027","0.03","0.028"
"nqx - probability of dying between ages x and x+n"," 35-39 years","0.025","0.023","0.027","0.024","0.026","0.024","0.027","0.024","0.027","0.025","0.028","0.025","0.028","0.026","0.029","0.027","0.03","0.028","0.03","0.028","0.029","0.028","0.029","0.028","0.029","0.029","0.03","0.03","0.034","0.031","0.035","0.031"
"nqx - probability of dying between ages x and x+n"," 40-44 years","0.032","0.028","0.033","0.029","0.033","0.029","0.034","0.029","0.034","0.03","0.035","0.03","0.035","0.031","0.036","0.032","0.038","0.033","0.038","0.033","0.037","0.033","0.037","0.033","0.037","0.034","0.038","0.034","0.041","0.036","0.042","0.036"
"nqx - probability of dying between ages x and x+n"," 45-49 years","0.043","0.035","0.045","0.036","0.044","0.036","0.045","0.037","0.046","0.037","0.046","0.038","0.047","0.038","0.048","0.039","0.05","0.04","0.05","0.04","0.049","0.041","0.049","0.041","0.05","0.041","0.051","0.042","0.053","0.043","0.054","0.044"
"nqx - probability of dying between ages x and x+n"," 50-54 years","0.062","0.049","0.063","0.05","0.063","0.05","0.064","0.051","0.064","0.051","0.065","0.052","0.066","0.053","0.067","0.054","0.069","0.055","0.069","0.055","0.069","0.055","0.069","0.056","0.07","0.056","0.071","0.057","0.073","0.058","0.074","0.059"
"nqx - probability of dying between ages x and x+n"," 55-59 years","0.089","0.068","0.091","0.069","0.091","0.07","0.092","0.07","0.093","0.071","0.094","0.072","0.095","0.073","0.096","0.074","0.098","0.075","0.098","0.076","0.098","0.076","0.098","0.077","0.099","0.078","0.1","0.079","0.102","0.08","0.103","0.081"
"nqx - probability of dying between ages x and x+n"," 60-64 years","0.131","0.102","0.133","0.104","0.133","0.104","0.134","0.106","0.135","0.107","0.137","0.108","0.138","0.109","0.139","0.111","0.141","0.112","0.142","0.113","0.142","0.114","0.142","0.115","0.143","0.116","0.145","0.118","0.146","0.119","0.147","0.12"
"nqx - probability of dying between ages x and x+n"," 65-69 years","0.191","0.155","0.193","0.157","0.193","0.158","0.195","0.159","0.196","0.16","0.198","0.162","0.199","0.163","0.2","0.165","0.202","0.166","0.203","0.168","0.204","0.169","0.204","0.17","0.205","0.171","0.208","0.173","0.209","0.174","0.209","0.175"
"nqx - probability of dying between ages x and x+n"," 70-74 years","0.28","0.241","0.282","0.243","0.282","0.244","0.284","0.245","0.285","0.247","0.287","0.249","0.289","0.25","0.29","0.252","0.293","0.254","0.294","0.256","0.295","0.257","0.295","0.258","0.296","0.26","0.299","0.263","0.299","0.263","0.3","0.265"
"nqx - probability of dying between ages x and x+n"," 75-79 years","0.402","0.362","0.404","0.364","0.405","0.365","0.407","0.367","0.408","0.368","0.411","0.37","0.412","0.372","0.414","0.374","0.417","0.376","0.418","0.378","0.419","0.379","0.42","0.38","0.421","0.382","0.424","0.385","0.424","0.386","0.425","0.387"
"nqx - probability of dying between ages x and x+n"," 80-84 years","0.554","0.518","0.556","0.52","0.556","0.521","0.558","0.522","0.559","0.523","0.561","0.525","0.563","0.527","0.565","0.528","0.566","0.53","0.568","0.532","0.569","0.533","0.569","0.534","0.571","0.536","0.573","0.538","0.573","0.539","0.574","0.54"
"nqx - probability of dying between ages x and x+n"," 85+ years","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"lx - number of people left alive at age x"," &lt;1 year","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000"
"lx - number of people left alive at age x"," 1-4 years","92970","93790","92780","93610","92610","93440","92420","93260","92240","93090","92070","92930","91900","92750","91730","92580","91530","92410","91330","92230","91110","92030","90870","91820","90620","91600","90380","91400","90150","91210","89920","91030"
"lx - number of people left alive at age x"," 5-9 years","90540","91260","90260","90970","89980","90690","89700","90410","89420","90130","89160","89860","88900","89590","88630","89310","88340","89030","88020","88730","87680","88410","87330","88060","86950","87710","86580","87370","86220","87040","85890","86730"
"lx - number of people left alive at age x"," 10-14 years","89682.04","90354.41","89353.33","90011.32","89099.02","89750.48","88794.23","89439.78","88495.69","89137.77","88213.73","88843.7","87940.68","88559.1","87632.66","88237.98","87295.71","87905.27","86983.91","87605.77","86677.72","87311.27","86321.05","86944.41","85933.29","86575.86","85537.55","86195.82","85128.5","85808.18","84780.05","85464.1"
"lx - number of people left alive at age x"," 15-19  years","88936.33","89585.09","88550.8","89188.02","88349.06","88963.3","88023.8","88628","87716.89","88312.05","87426.13","88004.26","87157.02","87716.41","86815.49","87359.67","86430.09","86977.77","86148.44","86694.37","85907.03","86445.38","85553.55","86070.02","85167.19","85692.02","84748.57","85280.89","84238.86","84811.55","83865.29","84434.02"
"lx - number of people left alive at age x"," 20-24 years","87759.73","88509.36","87295.13","88052.58","87172.71","87860.29","86821.06","87494.73","86504.38","87159.09","86204.04","86831.07","85944.58","86534.81","85559.05","86136.87","85108.23","85699.61","84871.86","85425.72","84723.18","85214.31","84374.22","84824.03","83990.76","84429.61","83545.83","83981.38","82847.35","83417.8","82435.28","83001.99"
"lx - number of people left alive at age x"," 25-29 years","86033.55","87155.88","85444.35","86637.73","85455.04","86468.05","85064.25","86067.67","84734.39","85705.88","84426.77","85351.34","84191.38","85038.73","83738.77","84594.93","83184.6","84098.84","83028.02","83823.06","83042.63","83635.09","82700.31","83222.26","82327.24","82804.34","81855.72","82317.74","80743.79","81655.95","80247.92","81199.41"
"lx - number of people left alive at age x"," 30-34 years","84309.91","85650.45","83597.97","85072.06","83725.78","84919.51","83292.34","84483.27","82943.93","84092.34","82622.77","83706.78","82402.66","83371.23","81879.62","82878.38","81219.93","82321.48","81132.52","82038.08","81299.21","81867.19","80961.28","81431.16","80595.48","80987.95","80095.2","80461.35","78568.98","79707.92","77994.55","79211.18"
"lx - number of people left alive at age x"," 35-39 years","82490.52","83963.72","81662.06","83324.45","81887.51","83182.74","81409.26","82707.7","81036.83","82284.52","80693.8","81864.1","80476.47","81501.97","79880.66","80958.74","79117.54","80339.86","79085.72","80045.88","79384.34","79887.4","79048.03","79429.1","78684.65","78958.95","78150.84","78390.13","76259.89","77555.7","75616.98","77019.58"
"lx - number of people left alive at age x"," 40-44 years","80405.08","82034.39","79472.84","81335.09","79769.48","81201.73","79245.35","80688.1","78843.78","80232.98","78469.93","79777.39","78242.71","79388.58","77577.34","78797.01","76721.16","78118.92","76725.4","77813.24","77120.8","77663.21","76781.66","77184.04","76413.52","76687.25","75841.12","76076.78","73681.81","75174.93","72984.68","74602.67"
"lx - number of people left alive at age x"," 45-49 years","77836.73","79758.3","76816.29","79002.3","77156.53","78879.09","76588.41","78330.3","76154.05","77847.3","75740.2","77358.91","75489.3","76946.47","74760.38","76311.86","73824.88","75579.94","73841.45","75263.61","74289.97","75120.2","73945.28","74625.63","73564.73","74105.34","72952.2","73454.67","70635.91","72501.83","69902.3","71898.48"
"lx - number of people left alive at age x"," 50-54 years","74471.67","76931.7","73381.71","76126.4","73746.94","76015.01","73141.04","75437.09","72676.34","74932.56","72221.01","74416.59","71942.3","73986.06","71161.44","73317.43","70164.03","72540.69","70179.74","72216.03","70651.95","72077.43","70304.23","71575.22","69910.55","71036.91","69260.92","70352.09","66875.77","69368.7","66120.91","68743.82"
"lx - number of people left alive at age x"," 55-59 years","69890.68","73176.44","68752.26","72327.2","69119.96","72220.2","68482.6","71613.9","67990.35","71087.34","67492.71","70540.85","67182.75","70089.22","66363.46","69389.53","65324.82","68573.31","65325.34","68235.51","65789.88","68091.83","65440.68","67584.71","65034.35","67028.9","64350.56","66310.64","61976.13","65312.62","61218.04","64668.29"
"lx - number of people left alive at age x"," 60-64 years","63639.52","68188.08","62490.15","67308.6","62842.57","67198.16","62192.24","66569.93","61688.22","66027.56","61158.85","65454.37","60824.77","64984.77","59992.67","64264.26","58945.63","63421.2","58925.21","63065.56","59360.32","62904.46","59021.21","62394.26","58613.38","61824.36","57900.16","61074.42","55652.53","60098.43","54921.11","59448.81"
"lx - number of people left alive at age x"," 65-69 years","55298.97","61203.04","54188.32","60314.21","54490.62","60186.09","53847.81","59542.88","53345.56","58985","52796.28","58382.72","52443.55","57889.61","51633.59","57156.55","50627.44","56303.45","50574.27","55926.66","50936.73","55736.86","50615.28","55235.38","50214.81","54660.45","49487.42","53883.15","47501.94","52973.65","46827.7","52331.96"
"lx - number of people left alive at age x"," 70-74 years","44731.27","51700.51","43729.38","50846.61","43960.8","50698.4","43366.38","50071.34","42899.96","49529.76","42364.76","48931.97","42016.66","48447.46","41281.25","47746.59","40378.83","46930.47","40290.62","46549.71","40551.87","46334.57","40266.3","45866.61","39895.73","45314.31","39188.3","44544.9","37597.71","43761.39","37021.19","43164"
"lx - number of people left alive at age x"," 75-79 years","32224.16","39244.12","31414.66","38495.95","31559.03","38343.08","31063.77","37785.18","30670.38","37302.82","30200.15","36757.51","29888.48","36317.3","29289.28","35704.02","28565","34992.76","28456.65","34639","28606.73","34415.98","28380.54","34019.47","28072.01","33535.74","27468.66","32848.61","26347.2","32241.92","25907.39","31736.89"
"lx - number of people left alive at age x"," 80-84 years","19263","25045","18712.7","24487.43","18775.48","24354.13","18428.21","23932.73","18146.17","23566.66","17799.61","23146.39","17563.26","22807.29","17152.8","22353.43","16666.15","21829.32","16564.07","21552.13","16618.27","21360.33","16465.14","21076.57","16248.61","20718.18","15832.23","20209.53","15176.18","19808.29","14896.19","19446.97"
"lx - number of people left alive at age x"," 85+ years","8593.467","12074.17","8312.878","11756.84","8330.075","11677.69","8148.817","11438.81","7999.15","11231.9","7809.319","10989.11","7678.396","10795.67","7469.291","10544.62","7224.962","10252.09","7159.554","10089.72","7163.718","9967.384","7089.668","9819.984","6977.189","9619.764","6761.135","9336.633","6483.89","9140.876","6351.786","8947.405"
"ndx - number of people dying between ages x and x+n"," &lt;1 year","7030","6210","7220","6390","7390","6560","7580","6740","7760","6910","7930","7070","8100","7250","8270","7420","8470","7590","8670","7770","8890.001","7970","9130","8180","9380","8400.001","9620","8600","9850","8790","10080","8970"
"ndx - number of people dying between ages x and x+n"," 1-4 years","2430","2530","2520","2640","2630","2750","2720","2850","2820","2960","2910","3070","3000","3160","3100","3270","3190","3380","3310.001","3500","3430","3620","3540","3760","3670","3890","3800","4030","3930","4170","4030","4300"
"ndx - number of people dying between ages x and x+n"," 5-9 years","857.958","905.587","906.674","958.682","880.983","939.519","905.775","970.22","924.309","992.224","946.269","1016.3","959.324","1030.9","997.339","1072.024","1044.291","1124.733","1036.086","1124.226","1002.284","1098.736","1008.951","1115.59","1016.712","1134.143","1042.442","1174.181","1091.502","1231.818","1109.951","1265.902"
"ndx - number of people dying between ages x and x+n"," 10-14 years","745.712","769.332","802.531","823.302","749.956","787.179","770.424","811.784","778.798","825.725","787.605","839.443","783.667","842.697","817.172","878.305","865.627","927.499","835.479","911.409","770.691","865.879","767.492","874.397","766.103","883.835","788.987","914.932","889.641","996.623","914.757","1030.084"
"ndx - number of people dying between ages x and x+n"," 15-19  years","1176.593","1075.727","1255.671","1135.434","1176.352","1103.016","1202.746","1133.271","1212.517","1152.958","1222.095","1173.185","1212.437","1181.59","1256.449","1222.801","1321.859","1278.156","1276.577","1268.649","1183.853","1231.071","1179.337","1245.988","1176.427","1262.416","1202.745","1299.509","1391.505","1393.758","1430.007","1432.026"
"ndx - number of people dying between ages x and x+n"," 20-24 years","1726.179","1353.486","1850.777","1414.842","1717.672","1392.243","1756.809","1427.055","1769.983","1453.21","1777.266","1479.726","1753.196","1496.082","1820.282","1541.938","1923.624","1600.775","1843.834","1602.659","1680.545","1579.221","1673.902","1601.77","1663.513","1625.262","1690.108","1663.644","2103.566","1761.855","2187.361","1802.578"
"ndx - number of people dying between ages x and x+n"," 25-29 years","1723.644","1505.432","1846.382","1565.675","1729.255","1548.542","1771.914","1584.406","1790.463","1613.529","1804.004","1644.564","1788.718","1667.506","1859.147","1716.552","1964.673","1777.351","1895.504","1784.986","1743.425","1767.908","1739.033","1791.097","1731.767","1816.39","1760.518","1856.388","2174.802","1948.024","2253.364","1988.234"
"ndx - number of people dying between ages x and x+n"," 30-34 years","1819.389","1686.724","1935.903","1747.619","1838.272","1736.763","1883.08","1775.561","1907.101","1807.825","1928.97","1842.683","1926.199","1869.262","1998.952","1919.633","2102.394","1981.623","2046.808","1992.199","1914.878","1979.79","1913.251","2002.061","1910.83","2028.999","1944.364","2071.219","2309.096","2152.229","2377.579","2191.599"
"ndx - number of people dying between ages x and x+n"," 35-39 years","2085.446","1929.328","2189.224","1989.361","2118.02","1981.004","2163.909","2019.599","2193.046","2051.528","2223.874","2086.71","2233.755","2113.394","2303.319","2161.733","2396.382","2220.937","2360.319","2232.635","2263.536","2224.186","2266.377","2245.061","2271.134","2271.701","2309.715","2313.355","2578.08","2380.764","2632.297","2416.904"
"ndx - number of people dying between ages x and x+n"," 40-44 years","2568.345","2276.088","2656.547","2332.792","2612.957","2322.638","2656.948","2357.794","2689.738","2385.685","2729.73","2418.477","2753.405","2442.109","2816.961","2485.15","2896.271","2538.986","2883.954","2549.636","2830.826","2543.008","2836.373","2558.407","2848.787","2581.904","2888.922","2622.106","3045.896","2673.1","3082.377","2704.195"
"ndx - number of people dying between ages x and x+n"," 45-49 years","3365.059","2826.599","3434.581","2875.898","3409.597","2864.085","3447.368","2893.22","3477.707","2914.737","3519.193","2942.329","3547.007","2960.406","3598.947","2994.427","3660.852","3039.248","3661.701","3047.58","3638.024","3042.776","3641.044","3050.415","3654.171","3068.439","3691.273","3102.587","3760.146","3133.132","3781.389","3154.655"
"ndx - number of people dying between ages x and x+n"," 50-54 years","4580.993","3755.263","4629.452","3799.198","4626.978","3794.809","4658.438","3823.185","4685.981","3845.227","4728.293","3875.733","4759.55","3896.843","4797.979","3927.901","4839.214","3967.374","4854.399","3980.527","4862.071","3985.604","4863.559","3990.509","4876.205","4008.01","4910.36","4041.444","4899.64","4056.075","4902.875","4075.532"
"ndx - number of people dying between ages x and x+n"," 55-59 years","6251.16","4988.363","6262.11","5018.603","6277.396","5022.039","6290.359","5043.971","6302.127","5059.776","6333.863","5086.485","6357.98","5104.453","6370.789","5125.275","6379.192","5152.115","6400.128","5169.948","6429.552","5187.365","6419.463","5190.453","6420.974","5204.541","6450.396","5236.22","6323.595","5214.189","6296.924","5219.475"
"ndx - number of people dying between ages x and x+n"," 60-64 years","8340.553","6985.035","8301.825","6994.388","8351.948","7012.063","8344.432","7027.054","8342.661","7042.566","8362.567","7071.646","8381.219","7095.159","8359.081","7107.704","8318.188","7117.748","8350.945","7138.896","8423.597","7167.606","8405.935","7158.88","8398.566","7163.914","8412.745","7191.275","8150.59","7124.783","8093.418","7116.846"
"ndx - number of people dying between ages x and x+n"," 65-69 years","10567.71","9502.536","10458.95","9467.601","10529.82","9487.696","10481.43","9471.536","10445.6","9455.238","10431.52","9450.752","10426.89","9442.141","10352.34","9409.959","10248.61","9372.978","10283.65","9376.949","10384.86","9402.281","10348.98","9368.773","10319.09","9346.132","10299.12","9338.251","9904.232","9212.259","9806.503","9167.962"
"ndx - number of people dying between ages x and x+n"," 70-74 years","12507.11","12456.39","12314.71","12350.67","12401.77","12355.32","12302.61","12286.16","12229.59","12226.94","12164.61","12174.46","12128.18","12130.16","11991.97","12042.57","11813.82","11937.72","11833.97","11910.72","11945.13","11918.59","11885.76","11847.14","11823.71","11778.57","11719.64","11696.29","11250.51","11519.47","11113.8","11427.11"
"ndx - number of people dying between ages x and x+n"," 75-79 years","12961.16","14199.12","12701.96","14008.51","12783.55","13988.95","12635.56","13852.44","12524.21","13736.16","12400.54","13611.12","12325.22","13510.01","12136.47","13350.59","11898.85","13163.44","11892.58","13086.87","11988.47","13055.65","11915.39","12942.9","11823.41","12817.57","11636.43","12639.07","11171.02","12433.64","11011.2","12289.92"
"ndx - number of people dying between ages x and x+n"," 80-84 years","10669.53","12970.83","10399.82","12730.6","10445.41","12676.44","10279.39","12493.92","10147.02","12334.76","9990.292","12157.28","9884.866","12011.61","9683.514","11808.81","9441.192","11577.23","9404.517","11462.41","9454.552","11392.94","9375.477","11256.58","9271.416","11098.41","9071.092","10872.9","8692.295","10667.41","8544.408","10499.57"
"ndx - number of people dying between ages x and x+n"," 85+ years","8593.467","12074.17","8312.878","11756.84","8330.075","11677.69","8148.817","11438.81","7999.15","11231.9","7809.319","10989.11","7678.396","10795.67","7469.291","10544.62","7224.962","10252.09","7159.554","10089.72","7163.718","9967.384","7089.668","9819.984","6977.189","9619.764","6761.135","9336.633","6483.89","9140.876","6351.786","8947.405"
"nLx - person-years lived between ages x and x+n"," &lt;1 year","94705.96","95223.59","94595.69","95092.52","94502.62","94972.64","94396.7","94854.63","94300.08","94770.73","94213.12","94714.48","94129.03","94652.41","94048.49","94594.77","93951.65","94523.66","93864.31","94440.91","93768.76","94342.73","93660.13","94237.43","93539.88","94126.17","93418.12","94030.76","93304.94","93942.9","93190.75","93862.43"
"nLx - person-years lived between ages x and x+n"," 1-4 years","365632.8","368672.2","364639.7","367693.9","363674.1","366749.2","362677.6","365773.5","361689.3","364789.2","360761.6","363829.1","359830.5","362834.9","358872","361835.2","357819.3","360851.3","356684.8","359806.6","355467.4","358683.5","354195.4","357468.9","352832.6","356239.8","351513.1","355063.1","350232.5","353925.8","349031.4","352854.3"
"nLx - person-years lived between ages x and x+n"," 5-9 years","450420.2","453887.9","448971.8","452385.6","447689.8","451092.6","446235.6","449624.5","444789.2","448169.4","443434.3","446759.3","442101.7","445372.8","440656.7","443869.9","439089.3","442338.2","437509.8","440839.4","435894.3","439303.2","434127.6","437511","432208.2","435714.7","430293.9","433914.6","428371.3","432120.4","426675.1","430485.3"
"nLx - person-years lived between ages x and x+n"," 10-14 years","446559.8","449860.5","444766.7","448003.7","443621","446785.1","442045.1","445169.5","440531.4","443624.5","439099.7","442119.9","437744.3","440688.8","436120.4","438994.1","434314.5","437207.6","432830.9","435750.3","431461.9","434391.6","429686.5","432536.1","427751.2","430669.7","425715.3","428691.8","423418.4","426549.3","421613.3","424745.3"
"nLx - person-years lived between ages x and x+n"," 15-19  years","441935.7","445384.6","439822.5","443257","438998.1","442209","437309.3","440459.9","435750.9","438832.5","434273.9","437244.7","432950","435784.5","431138.6","433902.2","429057.6","431860.5","427754.3","430464.9","426763.4","429308","425005.7","427394.8","423079.8","425464.9","420924.3","423320.3","417932.5","420749.1","415973.5","418769.8"
